participant,scenario,cause_question_order,question,response,direct,absence,age,both,age_whole,age_character,response_pattern
116,flood,second,lexical,rain the rain the rain,1,0,5.34,0,5,5,different
116,flood,second,caused,the water,1,0,5.34,0,5,5,different
117,sunburn,second,lexical,the sun,1,0,5.92,0,5,5,different
117,sunburn,second,caused,the sun the sun,1,0,5.92,0,5,5,different
117,flood,first,caused,the hard hard hard hard hard hard hard hard hard hard hard hard rain,1,0,5.92,0,5,5,different
117,flood,first,lexical,the hard hard hard hard hard hard hard hard hard hard hard hard rain,1,0,5.92,0,5,5,different
118,flood,first,caused,it's the open window,0,1,5.26,0,5,5,different
118,flood,first,lexical,it was the open window,0,1,5.26,0,5,5,different
119,flood,second,lexical,rain,1,0,5.59,0,5,5,different
119,flood,second,caused,rain rain,1,0,5.59,0,5,5,different
119,sunburn,first,caused,the sun,1,0,5.59,0,5,5,different
119,sunburn,first,lexical,the sun,1,0,5.59,0,5,5,different
120,sunburn,first,caused,her forgot her sunscreen,0,1,5.01,0,5,5,different
120,sunburn,first,lexical,the sun burned suzy's skin,1,0,5.01,0,5,5,different
120,flood,second,lexical,the water,1,0,5.01,0,5,5,different
121,sunburn,second,lexical,sun,1,0,6.58,0,6,6,different
121,sunburn,second,caused,sun sun,1,0,6.58,0,6,6,different
121,flood,first,caused,the rain,1,0,6.58,0,6,6,different
121,flood,first,lexical,the rain,1,0,6.58,0,6,6,different
122,flood,second,lexical,the--the water,1,0,6.82,0,6,6,different
122,flood,second,caused,the--the heavy rain,1,0,6.82,0,6,6,different
122,sunburn,second,lexical,the sun,1,0,6.82,0,6,6,different
122,sunburn,second,caused,the--the sun,1,0,6.82,0,6,6,different
123,flood,second,caused,because the window was open,0,1,6.08,0,6,6,different
123,sunburn,second,lexical,the hot sun,1,0,6.08,0,6,6,different
123,sunburn,second,caused,no no sunscreen,0,1,6.08,0,6,6,different
124,flood,first,caused,the window being not opened because of the broken latch,0,1,6.08,0,6,6,different
124,flood,first,lexical,water,1,0,6.08,0,6,6,different
124,sunburn,first,caused,because she forgot her sunscreen,0,1,6.08,0,6,6,different
124,sunburn,first,lexical,the sun,1,0,6.08,0,6,6,different
125,flood,second,lexical,rain,1,0,6.16,0,6,6,different
125,flood,second,caused,the open window,0,1,6.16,0,6,6,different
125,sunburn,first,caused,she forgot her sunscreen,0,1,6.16,0,6,6,different
125,sunburn,first,lexical,the sun,1,0,6.16,0,6,6,different
126,sunburn,first,caused,the sun the sun the sun,1,0,6.25,0,6,6,different
126,sunburn,first,lexical,the--the sun,1,0,6.25,0,6,6,different
126,flood,second,lexical,uh the rain the rain the rain,1,0,6.25,0,6,6,different
126,flood,second,caused,the rain the rain,1,0,6.25,0,6,6,different
127,sunburn,second,lexical,sun,1,0,6.16,0,6,6,different
127,sunburn,second,caused,sun,1,0,6.16,0,6,6,different
127,flood,second,lexical,window,0,1,6.16,0,6,6,different
127,flood,second,caused,water,1,0,6.16,0,6,6,different
128,sunburn,second,lexical,the sun,1,0,6.82,0,6,6,different
128,sunburn,second,caused,the sun,1,0,6.82,0,6,6,different
128,flood,first,caused,the rain,1,0,6.82,0,6,6,different
128,flood,first,lexical,the rain,1,0,6.82,0,6,6,different
129,sunburn,first,caused,she forgot her sunscreen,0,1,6.58,0,6,6,different
129,flood,second,lexical,water,1,0,6.58,0,6,6,different
129,flood,second,caused,the rain,1,0,6.58,0,6,6,different
130,sunburn,first,caused,the sun the hot sun,1,0,6.74,0,6,6,different
130,sunburn,first,lexical,the hot sun the hot sun i already said it,1,0,6.74,0,6,6,different
130,flood,first,caused,the hard rain the hard rain,1,0,6.74,0,6,6,different
130,flood,first,lexical,the rain,1,0,6.74,0,6,6,different
131,sunburn,second,caused,um sun,1,0,6.99,0,6,6,different
131,flood,second,caused,water,1,0,6.99,0,6,6,different
132,sunburn,second,lexical,the sun,1,0,6.49,0,6,6,different
132,sunburn,second,caused,her--her not bringing the sunscreen,0,1,6.49,0,6,6,different
132,flood,second,caused,the window latch being broken,0,1,6.49,0,6,6,different
133,flood,first,lexical,the water flooded the basement because it was raining,1,0,6.99,0,6,6,different
133,sunburn,second,caused,the sun 'cause--because it was too sunny and if it's too sunny then you get a sunburn,1,0,6.99,0,6,6,different
134,flood,second,lexical,rain,1,0,6.82,0,6,6,different
134,flood,second,caused,the window opened,0,1,6.82,0,6,6,different
134,sunburn,first,caused,the sun,1,0,6.82,0,6,6,different
135,flood,second,lexical,water,1,0,6.49,0,6,6,different
135,flood,second,caused,water,1,0,6.49,0,6,6,different
135,sunburn,first,caused,sun,1,0,6.49,0,6,6,different
135,sunburn,first,lexical,sun,1,0,6.49,0,6,6,different
136,flood,first,lexical,water,1,0,6.74,0,6,6,different
136,sunburn,first,lexical,the sun,1,0,6.74,0,6,6,different
137,flood,first,lexical,water,1,0,6.58,0,6,6,different
137,sunburn,second,lexical,the sun,1,0,6.58,0,6,6,different
137,sunburn,second,caused,the sun,1,0,6.58,0,6,6,different
138,flood,second,lexical,the rain,1,0,6.25,0,6,6,different
138,flood,second,caused,water,1,0,6.25,0,6,6,different
138,sunburn,second,lexical,sun the sun,1,0,6.25,0,6,6,different
138,sunburn,second,caused,sun,1,0,6.25,0,6,6,different
139,flood,first,caused,the rain it started raining,1,0,6.33,0,6,6,different
139,flood,first,lexical,the rain flooded the basement,1,0,6.33,0,6,6,different
139,sunburn,second,lexical,the sun burned suzy's skin,1,0,6.33,0,6,6,different
139,sunburn,second,caused,the sun,1,0,6.33,0,6,6,different
140,sunburn,first,caused,the sun,1,0,6.9,0,6,6,different
140,sunburn,first,lexical,the sun,1,0,6.9,0,6,6,different
140,flood,first,caused,the window was open,0,1,6.9,0,6,6,different
141,flood,second,lexical,water,1,0,6.9,0,6,6,different
141,flood,second,caused,rain,1,0,6.9,0,6,6,different
141,sunburn,second,lexical,the sun,1,0,6.9,0,6,6,different
141,sunburn,second,caused,the sun,1,0,6.9,0,6,6,different
142,flood,second,lexical,rain,1,0,6.82,0,6,6,different
142,flood,second,caused,uhwater water water,1,0,6.82,0,6,6,different
143,flood,second,caused,lots of rain,1,0,6.33,0,6,6,different
143,sunburn,second,lexical,the sun,1,0,6.33,0,6,6,different
144,sunburn,second,lexical,the sun,1,0,6.9,0,6,6,different
144,sunburn,second,caused,the sun,1,0,6.9,0,6,6,different
144,flood,second,lexical,water,1,0,6.9,0,6,6,different
144,flood,second,caused,the windows were open and the water got too high,1,0,6.9,0,6,6,different
145,flood,second,lexical,rain rain rain,1,0,6.74,0,6,6,different
145,flood,second,caused,rain rain,1,0,6.74,0,6,6,different
145,sunburn,first,caused,the sun the sun the sun,1,0,6.74,0,6,6,different
145,sunburn,first,lexical,the sun the sun,1,0,6.74,0,6,6,different
146,sunburn,first,caused,sunscreen,0,1,6.08,0,6,6,different
146,sunburn,first,lexical,the sun,1,0,6.08,0,6,6,different
146,flood,second,lexical,the water,1,0,6.08,0,6,6,different
146,flood,second,caused,the water rising,1,0,6.08,0,6,6,different
147,sunburn,first,caused,she didn't bring her sunscreen she forgot her sunscreen,0,1,6.16,0,6,6,different
147,sunburn,first,lexical,the sun,1,0,6.16,0,6,6,different
147,flood,first,caused,andy took the latch off and it started and the window was opening and closing and ur em it started raining really hard so the basement started to flood,0,1,6.16,0,6,6,different
147,flood,first,lexical,the rain,1,0,6.16,0,6,6,different
148,sunburn,first,lexical,the sun,1,0,6.41,0,6,6,different
148,flood,second,lexical,the rain,1,0,6.41,0,6,6,different
148,flood,second,caused,coz it rained so hard that um that there is um water that it flooded in the basement,1,0,6.41,0,6,6,different
149,sunburn,second,lexical,sun sun,1,0,6.58,0,6,6,different
149,sunburn,second,caused,sun,1,0,6.58,0,6,6,different
149,flood,second,lexical,rain,1,0,6.58,0,6,6,different
149,flood,second,caused,rain,1,0,6.58,0,6,6,different
150,flood,first,lexical,water water flooded the basement,1,0,6.66,0,6,6,different
150,sunburn,first,lexical,the sun burned suzy's skin,1,0,6.66,0,6,6,different
